docdb_family_id,person_ctry_code,inventor_count
72050394,NL,1
72050394,NO,2
72050473,NO,1
72139990,NO,3
72235027,NO,1
72241297,NO,3
72266891,NO,2
72266891,US,1
72422335,NO,1
72422609,NO,3
72428246,NO,1
72515774,NO,4
72826934,NO,1
72896210,NO,2
72915797,NO,2
73014525,NO,2
73401839,NO,3
73451196,NO,2
73476146,NO,2
73497753,NO,3
73646343,NO,1
73646467,NO,1
73646467,SA,3
73695101,NO,4
73744651,US,1
73781446,NO,1
73781472,NO,1
74059778,NO,2
74104237,US,5
74181203,SE,1
74187163,NL,1
74205673,BE,1
74205673,NL,1
74205711,DE,7
74205711,NO,1
74211208,NO,2
74228359,IN,1
74228359,NO,1
74418194,US,3
74494810,DE,1
74494810,NO,6
74561691,BR,1
74561826,DE,3
74566490,NO,3
74568744,GB,2
74568744,NO,1
74568744,US,1
74661318,NO,1
74667706,FI,2
74667751,FI,1
74669502,NO,3
74673088,DE,1
74673128,NO,2
74673162,GB,1
74673162,NO,3
74678839,NO,3
74678960,NO,1
74678969,NO,2
74679039,GB,1
74679039,NO,2
74683940,NO,1
74759495,NO,4
74759495,US,2
74844971,NO,1
74856697,NO,1
74856810,NO,1
74856810,SE,1
74858223,DE,3
74858223,NO,1
74858353,NO,2
74858381,NO,2
74858735,NL,2
74859050,FI,2
74859178,NL,1
74859178,US,1
74859292,NO,2
74859759,FR,1
74859759,NO,1
74859760,FR,1
74859760,NO,1
74865311,NO,3
74865391,NO,1
74867403,NO,5
74870795,DK,1
74870795,NO,11
74870795,SG,1
74871245,NO,4
74871256,NO,5
74871262,NO,4
74871268,NO,4
74871739,NO,1
74873595,NO,2
74873595,US,1
74874673,DE,1
74878994,NO,3
74879119,FI,1
74879119,NO,1
74879746,NO,1
74879896,NO,2
74879896,US,5
74947002,NO,1
75108123,NO,3
75108645,ES,1
75108647,AU,1
75108647,NO,1
75108647,US,2
75108757,NO,1
75143529,NO,3
75143624,NO,1
75143639,NO,3
75173069,NO,1
75223190,NO,5
75223383,NO,1
75252554,BE,1
75252554,FI,1
75277807,BE,4
75277910,NO,2
75278321,NO,3
75302245,BE,1
75302245,FI,1
75302245,FR,2
75302245,NO,1
75338915,BR,1
75338915,CH,2
75338915,NO,1
75338968,NO,2
75339117,NO,2
75339220,NO,1
75339244,NO,1
75339765,GB,2
75339765,NO,1
75339765,SE,3
75362480,NO,1
75377335,GB,1
75377335,NO,1
75377362,FI,1
75377362,NO,3
75377376,NO,3
75377393,NO,1
75382704,NO,2
75382704,US,3
75382722,NO,1
75396825,DE,1
75396825,FR,4
75396825,GB,1
75396825,GE,1
75396825,NO,1
75426600,NO,1
75426600,US,1
75438700,NO,6
75439421,NO,4
75472491,NO,1
75472510,NO,4
75472546,NO,1
75472617,NO,2
75538815,NO,1
75539309,NO,4
75539316,DE,1
75539316,NO,2
75562632,NO,2
75562667,NO,1
75623186,NO,4
75623223,NO,1
75625504,NO,3
75625514,NO,3
75659951,NO,1
75674697,IN,2
75674697,NO,1
75674697,SE,3
75674910,NO,1
75689863,NO,2
75689873,NO,3
75689899,NO,2
75689964,NO,3
75715502,NO,2
75715502,US,1
75728774,NO,3
75783488,NO,5
75783518,NO,4
75783519,CN,1
75783519,IT,1
75783519,NO,1
75783519,SE,1
75783537,NO,4
75783587,NO,3
75783629,NO,1
75783680,NO,2
75783680,SE,1
75783683,NO,4
75783685,NO,1
75783691,NO,2
75783718,NO,1
75783725,NO,1
75783800,NO,2
75825423,DE,2
75825423,NO,1
75825573,DE,2
75825573,NO,1
75847370,US,4
75848552,NO,1
75870604,NO,5
75883629,NO,2
75883629,SE,1
75883646,NO,1
75904848,NO,1
75904848,SE,1
75908967,NO,1
75908967,US,3
75912126,NO,5
75919357,CH,1
75919357,NO,1
75936799,NO,3
75949464,NO,2
75973750,NO,1
75973754,NO,1
75973754,US,3
75981711,NO,3
76011774,NO,5
76011945,NO,2
76034738,FR,1
76034738,NO,1
76059662,NO,2
76059759,BE,1
76059759,FR,1
76059759,IT,1
76137930,NL,1
76137930,NO,1
76159982,NO,1
76180995,DE,1
76180995,NO,2
76180995,US,1
76193425,GB,3
76193425,NO,2
76193425,US,1
76193586,NO,1
76193594,NO,3
76193597,NO,3
76209574,NO,1
76209574,US,5
76250126,NO,4
76270135,NO,1
76283662,AE,1
76283662,GB,1
76300982,NO,1
76300986,NO,3
76301108,NO,1
76301163,NO,2
76305733,US,2
76330563,NO,2
76355408,NO,3
76374946,NO,2
76374946,SE,4
76377591,NO,4
76377767,NO,4
76377794,FI,2
76377794,NO,1
76377794,PL,1
76377826,DE,4
76377826,DK,1
76377826,NO,2
76377835,NO,5
76444299,BE,1
76444299,FR,2
76444469,NO,2
76444519,NO,12
76466258,CN,3
76477919,NO,2
76483011,NO,2
76550530,NO,1
76550579,CA,1
76550579,DE,1
76550579,NO,3
76550616,FI,2
76584298,BE,1
76584374,DE,1
76584374,NO,2
76584374,SE,1
76584439,AU,2
76584439,NO,1
76601109,DE,2
76601109,NO,1
76637588,NO,1
76637601,NO,1
76637645,NO,1
76637646,NO,1
76637655,NO,1
76637657,NO,2
76637704,NO,1
76637728,NO,2
76637801,NO,1
76641593,DE,2
76695500,NO,2
76695631,NO,2
76708070,NO,2
76708403,NO,2
76730389,NO,3
76730434,NO,4
76741374,US,1
76741396,NO,1
76741427,NO,3
76741467,NO,1
76838897,NO,2
76838915,GB,3
76838915,NO,1
76838922,NO,2
76845166,NO,1
76857946,NO,1
76857946,US,2
76885259,CN,1
76891089,NO,2
76891089,SE,2
76920719,NO,1
76954388,NO,2
76954389,CH,1
76954389,NO,2
76954449,GB,5
76954449,NO,3
76954450,GB,6
76954450,NO,2
76954485,NO,1
76954503,NO,3
76954594,NO,3
76954617,DE,1
76954617,NL,2
76954617,NO,6
76971173,NO,1
76971173,US,6
76971972,NO,3
76991849,NO,4
77050617,NO,2
77050622,NO,3
77050633,NO,1
77050695,NO,2
77071212,BE,1
77071212,BR,1
77071449,NO,2
77079065,NO,3
77079069,NO,1
77179460,NO,5
77179462,NO,8
77179507,NO,2
77179511,NO,4
77179512,NO,1
77179513,NO,4
77179526,NO,1
77179545,NO,1
77179549,NO,3
77179554,NO,1
77179556,NO,6
77179640,DE,1
77179875,NO,2
77180233,FR,2
77180233,US,1
77226815,NO,5
77256845,NO,4
77265018,NO,3
77265171,NO,2
77272861,NO,5
77272861,US,5
77274384,BE,3
77274384,NO,2
77274422,NO,1
