docdb_family_id,person_ctry_code,applicant_count
74667706,NO,1
74667751,NO,1
74669502,NO,1
74673088,NO,1
74673128,NO,1
74673162,GB,1
74678839,NO,1
74678960,NO,1
74678969,GB,1
74678969,NO,1
74679039,GB,1
74683940,NO,1
74759495,US,1
74844971,NO,1
74856697,NO,1
74856810,FR,1
74858223,DE,1
74858353,NO,1
74858381,FR,1
74858735,CH,1
74858735,NO,1
74859050,NO,1
74859178,NO,1
74859178,US,1
74859292,NO,1
74859759,NO,1
74859760,NO,1
74865311,GB,1
74865311,NO,1
74865391,NO,1
74867403,NO,1
74870795,NO,1
74871245,CH,1
74871256,CH,1
74871262,CH,1
74871268,CH,1
74871739,NO,1
74873595,NO,1
74874673,NO,1
74878994,GB,1
74878994,NO,1
74879119,NO,1
74879746,NO,1
74879896,NO,1
74879896,US,1
74947002,NO,1
75108123,NO,1
75108645,NO,1
75108647,GB,1
75108757,NO,1
75143529,NO,1
75143624,NO,1
75143639,NO,1
75173069,NO,1
75223190,CH,1
75223383,NO,1
75252554,NO,1
75277807,NO,1
75277910,NO,1
75278321,NO,1
75302245,NO,1
75338915,CH,1
75338968,NO,1
75339117,NO,1
75339220,NO,1
75339244,NO,1
75339765,SE,1
75362480,NO,1
75377335,GB,1
75377362,GB,1
75377376,NO,1
75377393,NO,1
75382704,CA,1
75382704,FR,1
75382704,NL,1
75382704,US,1
75382722,NO,1
75396825,GB,1
75426600,NO,1
75438700,NO,1
75439421,NO,2
75472491,GB,1
75472491,NO,1
75472510,NO,1
75472546,GB,1
75472546,NO,1
75472617,NO,1
75538815,NO,1
75539309,NO,1
75539316,NO,1
75562632,NO,3
75562667,NO,1
75623186,NO,1
75623223,NO,1
75625504,NO,1
75625514,FR,1
75659951,FR,1
75674697,CH,1
75674910,NO,1
75689863,NO,1
75689873,NO,1
75689899,NO,1
75689964,NO,1
75715502,NO,1
75728774,FR,1
75783488,GB,1
75783518,NO,1
75783519,GB,1
75783537,NO,1
75783587,NO,1
75783629,NO,1
75783680,GB,1
75783683,NO,1
75783685,NO,1
75783691,NO,1
75783718,NO,1
75783725,GB,1
75783725,NO,1
75783800,NO,1
75825423,DE,1
75825573,IE,1
75847370,US,5
75848552,NO,1
75870604,NO,1
75883629,NO,1
75883646,NO,1
75904848,FR,1
75908967,US,1
75912126,NO,1
75919357,CH,1
75936799,NO,3
75949464,NO,1
75973750,US,1
75973754,US,2
75981711,US,1
76011774,NO,1
76011945,NO,1
76034738,FR,1
76059662,NO,1
76059759,NO,1
76137930,NO,1
76159982,NO,1
76180995,NO,1
76193425,GB,4
76193425,NO,2
76193425,US,1
76193586,NO,1
76193594,NO,1
76193597,NO,1
76209574,US,1
76250126,SE,1
76270135,NO,1
76283662,NO,1
76300982,NO,1
76300986,NO,1
76301108,NO,1
76301163,NO,1
76305733,US,1
76330563,NO,1
76355408,FR,1
76374946,NO,2
76374946,SE,5
76377591,GB,1
76377767,GB,1
76377767,NO,1
76377794,NO,1
76377826,DE,2
76377826,DK,1
76377826,NO,2
76377835,NO,1
76444299,NO,1
76444469,NO,1
76444519,NO,1
76466258,CN,1
76466258,NO,1
76477919,NO,1
76483011,NO,1
76550530,NO,1
76550579,NO,1
76550616,NO,1
76584298,NO,1
76584374,CH,1
76584439,FI,1
76601109,NO,1
76637588,NO,1
76637601,NO,1
76637645,NO,1
76637646,NO,1
76637655,NO,1
76637657,NO,1
76637704,NO,1
76637728,NO,1
76637801,NO,1
76641593,DE,1
76641593,NO,1
76695500,NO,1
76695631,NO,1
76708070,NO,1
76708403,MT,1
76730389,NO,1
76730434,NO,1
76741374,NO,1
76741396,NO,1
76741427,NO,1
76741467,DE,1
76838897,NO,1
76838915,GB,1
76838922,NO,1
76845166,FR,1
76857946,US,1
76885259,CN,1
76885259,NO,1
76891089,GB,1
76920719,FR,1
76954388,NO,1
76954389,NO,1
76954449,GB,1
76954450,GB,7
76954450,NO,2
76954485,GB,1
76954503,GB,1
76954503,NO,1
76954594,NO,1
76954617,GB,1
76954617,NO,1
76971173,CA,1
76971173,FR,1
76971173,NL,1
76971173,US,1
76971972,NO,1
76991849,NO,1
77050617,NO,1
77050622,NO,1
77050633,NO,1
77050695,NO,1
77071212,NO,1
77071449,NO,1
77079065,NO,1
77079069,NO,1
77179460,NO,1
77179462,NO,1
77179507,NO,1
77179511,NO,1
77179512,NO,1
77179513,NO,1
77179526,NO,1
77179545,NO,1
77179549,NO,1
77179554,NO,1
77179556,NO,1
77179640,NO,1
77179875,NO,1
77180233,NO,1
77226815,NO,1
77256845,NO,1
77265018,NO,1
77265171,NO,1
77272861,US,1
77274384,NO,1
77274422,NO,1
77274458,GB,1
77274458,NO,1
77274533,NO,1
77274569,GB,1
77274569,NO,1
77274601,NO,1
77338715,NO,1
77353786,NO,1
77353839,DE,1
77353839,NO,1
77353883,NO,1
77353905,NO,1
77353951,NO,1
77353982,NO,1
77354008,NO,1
77398385,NO,1
77443336,NO,1
77443404,NO,1
77491967,NO,1
77499721,NO,1
77499725,NO,1
77518971,NO,1
77519120,GB,1
77520556,NO,1
77520556,US,1
77541101,NO,1
77541104,NO,1
77612538,FI,1
77651167,NO,1
77651224,GB,1
77651224,NO,1
77651243,NO,1
77651247,GB,1
77651258,NO,1
77651352,NO,1
77651374,NO,1
77651385,NO,1
77651420,GB,1
77666140,NO,1
77666205,NO,1
77666505,NO,1
77710542,NO,1
77711177,NO,1
77726425,FR,1
77774823,NO,1
77854452,US,1
77859894,NO,1
77859955,NO,1
77860096,NO,1
77892622,US,1
77913013,NO,1
77913930,BR,1
77913930,NO,1
77913965,NO,1
77914010,NO,1
77930414,NO,1
77998908,FR,1
77999706,NO,1
77999718,NO,2
77999728,NO,1
78049496,NO,1
78049512,GB,1
78076741,NO,1
78080235,NO,1
78081604,US,2
78085476,NO,1
78085563,NO,1
78086609,NO,1
78087017,NO,1
78114129,DK,1
78114129,NO,1
78149276,NO,1
78149310,NO,1
78149430,GB,1
78149430,NO,1
78179173,CH,1
78179173,US,1
78221932,CA,1
78221932,FR,1
78221932,NL,1
78221932,US,1
78269084,NO,1
78270297,NO,1
78292365,NO,1
78302707,NO,1
78333015,NO,1
78333016,NO,1
78373713,NO,1
78373715,NO,1
78399559,GB,1
78399559,NO,1
78399571,BE,1
78399571,NO,1
78399758,NO,1
78414448,LI,1
78414611,FR,1
78463435,FR,1
78497755,NO,1
78497777,GB,1
78497777,NO,1
78497813,NO,1
78497950,NO,1
78500332,NO,1
78500346,NO,1
78513390,US,1
78516554,NO,1
78516659,CH,1
78617355,FR,1
78617356,FR,1
78649093,NO,1
78649209,LI,1
78705808,US,1
78705841,US,1
78708861,CA,1
78709263,NO,1
78718372,NO,1
78718395,NO,1
78718412,GB,1
78718558,GB,1
78789715,JP,1
78789715,NL,1
78805909,NO,1
78806108,GB,1
78806108,NO,1
78806113,NO,1
78806135,NO,1
78806160,NO,1
78821899,FR,4
78821899,NO,1
78821953,NO,1
78827798,CH,1
78828452,NO,1
78828491,NO,1
78828508,NO,1
78829376,NL,1
78829376,NO,1
78829634,NO,1
78830494,NO,1
78844779,NO,1
78845056,CH,1
78845442,FI,1
78916582,NO,1
78916886,SK,1
78918687,NO,1
79021166,NO,1
79024141,NO,1
79024688,NO,1
79025202,NO,1
79031502,US,1
79163444,NO,1
79163596,NO,1
79163604,NO,1
79163870,NO,1
79164762,US,1
79185385,US,1
79230963,NO,1
79268177,NO,1
79269732,NO,1
79270256,GB,1
79270300,GB,1
79281583,NO,1
79281589,NO,2
79281590,NO,1
79315553,GB,1
79315553,NO,1
79315553,US,1
79316739,FR,1
79316746,NO,1
79317178,NO,1
79553514,NO,1
79581195,CN,1
79601546,NO,1
79687188,NO,1
79730606,NO,1
79730659,NO,1
79730672,NO,1
79731034,NO,1
79831506,NO,1
80034802,CH,1
80035224,NO,1
80038577,NO,1
80038616,NO,1
80038671,NO,1
80038672,NO,1
80050700,NO,1
80079945,NO,1
80079967,NO,1
80080023,NO,1
80080037,NO,1
80080041,NO,1
80080124,NO,1
80080166,NO,1
80080167,NO,1
80080964,NO,1
80111909,NO,1
80113506,NO,1
80119235,US,1
80121674,NO,1
80121700,NO,1
80121901,CH,1
80121903,NO,1
80122004,NO,1
80122253,DK,1
80122693,NO,1
80122851,US,1
80122911,NO,1
80168262,NO,1
80218453,NO,1
80220033,NL,1
80222073,NO,1
80222294,NO,1
80222521,NO,1
80223192,US,1
80225387,NO,1
80262672,NO,1
80444018,NO,1
80444549,US,1
80445993,NO,1
80446150,DE,1
80446150,NO,1
80446273,NO,1
80446306,US,1
80446439,NO,1
80446766,NO,1
80446976,NO,1
80447263,NO,1
80447825,NO,1
80448580,CH,1
80448705,NO,1
80448973,NO,1
80449136,US,1
80461007,NO,1
80461111,US,1
80461563,US,1
80461592,US,1
80461811,NO,1
80595313,NO,1
80595314,NO,1
80595389,NO,1
80621259,GB,1
80623562,NO,1
80623632,NO,1
80623703,FR,1
80623882,GB,1
80623940,NO,1
80624064,NO,1
80624076,NO,1
80625048,NO,1
80625087,NO,1
80625103,FR,1
80625143,NO,1
80625357,NO,1
80625417,NO,1
80625449,NO,1
80625517,NO,1
80625551,NO,1
80628538,NO,1
80628716,NO,1
80628750,NO,1
80678830,ES,1
80683048,NO,1
80683785,NO,1
80683785,SA,1
80683785,US,1
80685467,NO,1
80735848,FR,1
80736019,CH,1
80736087,US,1
80736130,NO,1
80738728,NO,1
80738910,NO,1
80775086,NO,1
80775339,NO,1
80780637,NO,1
80780783,NO,1
80780861,NO,1
80780933,NO,1
80780983,NO,1
80785110,NO,1
80785158,NO,1
80785278,NO,1
80786602,US,1
80786614,NO,1
80786739,NO,1
80786896,MT,1
80820274,NL,1
80820274,NO,1
80820305,NO,1
80820747,GB,1
80820780,GB,1
80820867,NO,1
80820998,GB,1
80857203,NO,1
80928957,NO,1
80930375,NO,1
80930421,NO,1
80930561,NO,1
80933274,NO,1
80933418,NO,1
80933436,NO,1
80933547,NO,1
80933596,NO,1
80933917,NO,1
80934430,NO,1
80934697,NO,1
80937060,NO,1
