docdb_family_id,person_ctry_code,combined_count
69059106,US,2
69061430,NO,7
69061430,US,1
69062099,GB,3
69062099,NO,1
69086376,NO,2
69104300,ES,1
69104300,NO,4
69137215,GB,1
69137215,NO,4
69147180,NO,5
69165466,NO,3
69186599,NO,8
69322634,NO,3
69322907,NO,9
69493486,NO,3
69626225,NO,4
69626234,NO,4
69636765,NO,2
69639782,GB,2
69639782,NO,1
69740251,DE,2
69740251,NO,1
69810688,NO,2
69844865,NO,4
69846240,NO,3
69903021,NO,3
70228770,NL,1
70228770,NO,1
70278581,NO,5
70289747,DK,1
70289747,NO,2
70295139,NO,1
70295139,TW,1
70295139,US,3
70458586,GB,1
70458586,IE,1
70458586,NO,1
70465214,NO,2
70476117,NO,2
70546530,BR,1
70546530,IN,1
70546530,NO,8
70546530,SE,1
70546578,NO,2
70546641,NO,3
70553245,NO,4
70553403,NO,1
70553403,US,2
70680242,BE,1
70680242,NL,1
70680242,NO,1
70726501,NO,2
70726501,US,1
70768774,NO,4
70768990,NO,3
70803013,NO,2
70857017,DE,1
70857017,FR,1
70857017,NL,2
70857017,NO,1
70861217,BE,3
70861217,NO,1
70921797,NO,3
71080219,CN,1
71080219,NO,3
71080219,US,4
71080626,NO,4
71083400,BE,2
71083400,NO,1
71608241,NO,5
71615893,NO,6
71787005,NO,1
71787005,US,1
71835579,FR,1
71835579,NO,2
71895040,NO,1
71895040,US,1
71944174,NO,1
71944174,US,1
71949674,DE,1
71949674,NO,3
72050394,DE,1
72050394,FI,2
72050394,GB,1
72050394,NL,1
72050394,NO,3
72050473,NO,2
72139990,NO,4
72235027,NO,1
72235027,US,1
72241297,NO,4
72266891,NO,3
72266891,US,2
72422335,NO,2
72422609,NO,3
72422609,US,1
72428246,NO,2
72515774,NO,4
72515774,US,1
72826934,NO,2
72896210,NO,3
72915797,NO,3
73014525,NO,3
73401839,NO,4
73451196,NO,3
73476146,NO,3
73497753,NO,4
73646343,NO,2
73646467,NO,2
73646467,SA,4
73646467,US,1
73695101,NO,5
73744651,NO,1
73744651,US,1
73781446,NO,2
73781472,NO,1
73781472,US,2
74059778,NO,3
74104237,US,6
74181203,NO,1
74181203,SE,1
74187163,NL,1
74187163,NO,1
74205673,BE,1
74205673,NL,1
74205673,NO,1
74205711,DE,8
74205711,NO,2
74211208,NO,3
74228359,IN,1
74228359,JP,1
74228359,NO,1
74228359,US,1
74418194,NO,1
74418194,US,3
74494810,DE,2
74494810,NO,7
74561691,BR,1
74561691,NO,1
74561826,DE,3
74561826,NO,1
74566490,NO,4
74568744,GB,2
74568744,NO,1
74568744,US,2
74661318,FR,1
74661318,NO,1
74667706,FI,2
74667706,NO,1
