docdb_family_id,person_ctry_code,combined_ratio
30117093,GB,0.1
30117093,NO,0.9
32930542,NO,1.0
35220688,NO,0.6666666666666666
35220688,US,0.3333333333333333
35267088,DE,0.2857142857142857
35267088,NL,0.42857142857142855
35267088,NO,0.2857142857142857
36803659,GB,0.5
36803659,NO,0.5
37671443,GB,0.7857142857142857
37671443,NO,0.21428571428571427
38163327,IL,0.3333333333333333
38163327,NO,0.6666666666666666
38372038,US,1.0
39101658,FI,0.18181818181818182
39101658,IT,0.18181818181818182
39101658,NO,0.6363636363636364
41114732,NO,0.2222222222222222
41114732,US,0.7777777777777778
42283642,NO,1.0
42354652,NO,1.0
42983487,IT,0.2857142857142857
42983487,NO,0.7142857142857143
43065226,NO,1.0
44146318,CL,0.5454545454545454
44146318,NO,0.45454545454545453
44542539,NO,0.18181818181818182
44542539,US,0.8181818181818182
44645370,DK,1.0
44860439,GB,0.3333333333333333
44860439,NO,0.6666666666666666
45464639,NO,1.0
45495902,GB,0.09090909090909091
45495902,NO,0.9090909090909091
45541216,GB,0.125
45541216,NO,0.875
46757277,KR,0.13333333333333333
46757277,NO,0.13333333333333333
46757277,US,0.7333333333333333
46846167,NO,1.0
46969414,NO,0.8
46969414,US,0.2
48539300,NO,0.25
48539300,SE,0.75
48613178,NO,1.0
49779863,NO,1.0
50002662,NO,1.0
50071052,GB,0.7142857142857143
50071052,NO,0.2857142857142857
50239676,NO,1.0
50543578,CA,0.35294117647058826
50543578,DE,0.5294117647058824
50543578,NO,0.11764705882352941
50884956,DK,0.8333333333333334
50884956,NO,0.16666666666666666
50979080,CA,0.14285714285714285
50979080,FR,0.2857142857142857
50979080,GB,0.14285714285714285
50979080,NO,0.2857142857142857
50979080,US,0.14285714285714285
51302828,NO,1.0
51869718,NO,1.0
51869758,NO,1.0
51986097,NO,1.0
52349617,NO,1.0
52469249,NO,1.0
52577849,NO,1.0
52649067,GB,0.5
52649067,NO,0.5
52673865,NO,1.0
53181597,NO,0.4
53181597,US,0.6
53403185,NO,1.0
53489699,GB,0.14285714285714285
53489699,NO,0.14285714285714285
53489699,US,0.7142857142857143
53673311,GB,0.45
53673311,NE,0.05
53673311,NO,0.2
53673311,US,0.3
53677482,GB,0.25
53677482,NO,0.75
53756005,NO,0.4
53756005,US,0.6
53775996,FR,0.3333333333333333
53775996,NO,0.3333333333333333
53775996,US,0.3333333333333333
53776955,NO,0.8
53776955,US,0.2
54336802,NO,0.4
54336802,US,0.6
54606078,NO,1.0
55025003,GB,0.4
55025003,NO,0.6
55066354,NO,1.0
55132414,NO,1.0
55234448,IN,0.5
55234448,NO,0.5
55631054,NO,0.2
55631054,SE,0.8
55745553,DE,0.5
55745553,NO,0.5
55963321,NO,1.0
56101757,CN,0.2
56101757,FR,0.4
56101757,NO,0.2
56101757,US,0.2
56108010,CN,0.25
56108010,FR,0.375
56108010,NO,0.125
56108010,US,0.25
56132759,NO,1.0
56360457,GB,0.25
56360457,NO,0.75
56544309,CN,0.2727272727272727
56544309,FR,0.36363636363636365
56544309,NO,0.18181818181818182
56544309,US,0.18181818181818182
56879732,CN,0.3333333333333333
56879732,NO,0.16666666666666666
56879732,US,0.5
56895114,NO,0.5
56895114,SE,0.5
57218882,NO,1.0
57398467,BR,0.3333333333333333
57398467,NO,0.3333333333333333
57398467,US,0.3333333333333333
57799622,NO,1.0
57910122,NO,0.5
57910122,US,0.5
58044125,NO,1.0
58100941,CA,0.14285714285714285
58100941,FR,0.14285714285714285
58100941,NL,0.14285714285714285
58100941,NO,0.42857142857142855
58100941,US,0.14285714285714285
58188673,GB,0.3333333333333333
58188673,NO,0.6666666666666666
58240861,GB,0.3333333333333333
58240861,NO,0.6666666666666666
58360664,NO,1.0
58360996,NO,1.0
58448349,AT,0.16666666666666666
58448349,CH,0.3333333333333333
58448349,DE,0.16666666666666666
58448349,LI,0.16666666666666666
58448349,NO,0.16666666666666666
58462478,NO,1.0
58464508,NO,1.0
58544187,NO,1.0
58548768,NO,1.0
58584257,NO,1.0
58632557,NO,0.5
58632557,US,0.5
58664231,NO,0.3333333333333333
58664231,US,0.6666666666666666
58682734,NO,1.0
