docdb_family_id,application_number,appln_auth,auth_family,priority_auth,appln_filing_year,appln_nr_epodoc,appln_nr_original,docdb_family_size,receiving_office,nb_applicants,nb_inventors,granted,main_ipc_group,sector,field
48143293,US201314115048A ,US,"AU, CA, CN, DK, EP, ES, GB, PT, US, WO",GB,2013,"US201314115048, AU20130251093, CA20132870777, CN20138020191, WO2013EP58236, EP20130717777, GB20130007156, DK20130717777T, ES20130717777T, US201916378630, PT20130717777T","14115048, 2013251093, 2870777, 2013800201911, EP2013/058236, 13717777, GB1307156, 16378630, nan",11,  ,1,1,Y,A61B  17,Instruments,Medical technology
65520050,DKPA202170375A ,DK,"CA, CL, DK, EP, JP, US, WO",EP,2021,"DK2021PA70375, CA20203124621, JP20210545872, CL20210002036, US202017433407, EP20190155627, WO2020EP52688, EP20200703451","PA202170375, 3124621, 2021545872, 2021002036, 17433407, 19155627, EP2020/052688, 20703451",8,  ,1,3,N,A61K  39,Chemistry,Pharmaceuticals
66377383,US202117526948A ,US,"EP, GB, US",GB,2021,"US202117526948, GB20190002772, EP20190176524, US201916421585","17526948, GB1902772, 19176524, 16421585",4,  ,1,2,Y,G06F  16,Electrical engineering,Computer technology
67384992,GB201906414A ,GB,"GB, WO",GB,2019,"GB20190006414, WO2020NO50115","GB1906414, NO2020/050115",2,  ,1,1,N,B65D  88,Mechanical engineering,Handling
68238435,US201916389559A ,US,US,US,2019,US201916389559,16389559,1,  ,1,1,Y,H04L   9,Electrical engineering,Digital communication
